survey_id,richness
Aow Mao Wreck.2025-03-27.Stationary,9
Aow Mao.2025-04-10.Stationary,11
Aow Mao Wreck.2025-04-10.Stationary,4
No Name Pinnacle.2025-04-23.Stationary,10
No Name Wreck.2025-04-23.Stationary,8
Hin Pee Wee.2025-04-28.Stationary,11
No Name Wreck.2025-05-05.Stationary,6
Aow Mao.2025-05-07.Stationary,9
Hin Pee Wee.2025-05-13.Stationary,9
Aow Mao Wreck.2025-05-27.Stationary,3
Sattakut.2025-05-29.Stationary,9
Aow Mao Wreck.2025-06-03.Stationary,4
Aow Mao.2025-06-10.Stationary,8
Aow Mao Wreck.2025-06-10.Stationary,6
Aow Mao.2025-06-18.Stationary,6
No Name Pinnacle.2025-06-23.Stationary,10
No Name Wreck.2025-06-23.Stationary,8
Hin Pee Wee.2025-06-24.Stationary,7
No Name Pinnacle.2025-06-24.Stationary,11
No Name Wreck.2025-06-24.Stationary,2
No Name Pinnacle.2025-07-28.Stationary,11
No Name Wreck.2025-07-28.Stationary,9
Hin Pee Wee.2025-08-04.Stationary,8
No Name Pinnacle.2025-08-05.Stationary,5
No Name Wreck.2025-08-05.Stationary,7
No Name Pinnacle.2025-08-06.Stationary,2
Aow Mao Wreck.2025-08-08.Stationary,7
Aow Mao.2025-08-13.Stationary,10
Aow Mao Wreck.2025-08-13.Stationary,6
No Name Pinnacle.2025-08-19.Stationary,12
No Name Wreck.2025-08-19.Stationary,7
Aow Mao Wreck.2025-08-20.Stationary,7
Aow Mao Wreck.2025-08-21.Stationary,5
Sattakut.2025-08-21.Stationary,2
Hin Pee Wee.2025-09-03.Stationary,7
Hin Pee Wee.2025-09-09.Stationary,8
No Name Wreck.2025-09-09.Stationary,7
Aow Mao.2025-09-10.Stationary,8
Aow Mao Wreck.2025-09-18.Stationary,5
Aow Mao Wreck.2025-09-25.Stationary,4
Aow Mao.2025-10-06.Stationary,8
Aow Mao Wreck.2025-10-06.Stationary,7
No Name Pinnacle.2025-10-08.Stationary,10
No Name Wreck.2025-10-08.Stationary,8
Sattakut.2025-10-08.Stationary,8
Hin Pee Wee.2025-10-09.Stationary,5
Sattakut.2025-10-09.Stationary,10
Aow Mao.2025-10-15.Stationary,8
Aow Mao Wreck.2025-10-15.Stationary,7
Aow Mao Wreck.2025-10-17.Stationary,7
Aow Mao.2025-10-20.Stationary,11
Hin Pee Wee.2025-10-22.Stationary,7
No Name Pinnacle.2025-10-22.Stationary,8
No Name Wreck.2025-10-22.Stationary,5
Sattakut.2025-10-22.Stationary,3
